"Step","colu - train/loss","colu - train/loss__MIN","colu - train/loss__MAX","relu - train/loss","relu - train/loss__MIN","relu - train/loss__MAX"
"0","0.3106890618801117","0.3106890618801117","0.3106890618801117","0.48365509510040283","0.48365509510040283","0.48365509510040283"
"1","0.21256226301193237","0.21256226301193237","0.21256226301193237","0.24568180739879608","0.24568180739879608","0.24568180739879608"
"2","0.1902623176574707","0.1902623176574707","0.1902623176574707","0.21595308184623718","0.21595308184623718","0.21595308184623718"
"3","0.18006651103496552","0.18006651103496552","0.18006651103496552","0.19861167669296265","0.19861167669296265","0.19861167669296265"
"4","0.17693138122558594","0.17693138122558594","0.17693138122558594","0.19133754074573517","0.19133754074573517","0.19133754074573517"
"5","0.17328648269176483","0.17328648269176483","0.17328648269176483","0.1847943663597107","0.1847943663597107","0.1847943663597107"
"6","0.1681419014930725","0.1681419014930725","0.1681419014930725","0.17740508913993835","0.17740508913993835","0.17740508913993835"
"7","0.1677539199590683","0.1677539199590683","0.1677539199590683","0.17586667835712433","0.17586667835712433","0.17586667835712433"
"8","0.1663506180047989","0.1663506180047989","0.1663506180047989","0.1730482280254364","0.1730482280254364","0.1730482280254364"
"9","0.16430634260177612","0.16430634260177612","0.16430634260177612","0.1705695390701294","0.1705695390701294","0.1705695390701294"
"11","0.16400542855262756","0.16400542855262756","0.16400542855262756","0.1689196079969406","0.1689196079969406","0.1689196079969406"
"12","0.16286201775074005","0.16286201775074005","0.16286201775074005","0.16804935038089752","0.16804935038089752","0.16804935038089752"
"13","0.1626809537410736","0.1626809537410736","0.1626809537410736","0.16690395772457123","0.16690395772457123","0.16690395772457123"
"14","0.16186068952083588","0.16186068952083588","0.16186068952083588","0.1660192459821701","0.1660192459821701","0.1660192459821701"
"15","0.1620156466960907","0.1620156466960907","0.1620156466960907","0.16675610840320587","0.16675610840320587","0.16675610840320587"
"16","0.1598169207572937","0.1598169207572937","0.1598169207572937","0.1631946712732315","0.1631946712732315","0.1631946712732315"
"17","0.16004998981952667","0.16004998981952667","0.16004998981952667","0.1634308248758316","0.1634308248758316","0.1634308248758316"
"18","0.16034828126430511","0.16034828126430511","0.16034828126430511","0.16393421590328217","0.16393421590328217","0.16393421590328217"
"19","0.15914571285247803","0.15914571285247803","0.15914571285247803","0.161815345287323","0.161815345287323","0.161815345287323"
"20","0.15885232388973236","0.15885232388973236","0.15885232388973236","0.16147007048130035","0.16147007048130035","0.16147007048130035"
"22","0.15789279341697693","0.15789279341697693","0.15789279341697693","0.1603594422340393","0.1603594422340393","0.1603594422340393"
"23","0.1586272269487381","0.1586272269487381","0.1586272269487381","0.16093507409095764","0.16093507409095764","0.16093507409095764"
"24","0.1572442501783371","0.1572442501783371","0.1572442501783371","0.15924255549907684","0.15924255549907684","0.15924255549907684"
"25","0.15920014679431915","0.15920014679431915","0.15920014679431915","0.16140250861644745","0.16140250861644745","0.16140250861644745"
"26","0.15743914246559143","0.15743914246559143","0.15743914246559143","0.1589868813753128","0.1589868813753128","0.1589868813753128"
"27","0.15764260292053223","0.15764260292053223","0.15764260292053223","0.15951818227767944","0.15951818227767944","0.15951818227767944"
"28","0.15702466666698456","0.15702466666698456","0.15702466666698456","0.15860290825366974","0.15860290825366974","0.15860290825366974"
"29","0.15626105666160583","0.15626105666160583","0.15626105666160583","0.15760503709316254","0.15760503709316254","0.15760503709316254"
"30","0.1562461256980896","0.1562461256980896","0.1562461256980896","0.15777456760406494","0.15777456760406494","0.15777456760406494"
"31","0.1555296629667282","0.1555296629667282","0.1555296629667282","0.15679751336574554","0.15679751336574554","0.15679751336574554"
"33","0.15678852796554565","0.15678852796554565","0.15678852796554565","0.1580570638179779","0.1580570638179779","0.1580570638179779"
