"Step","oxford_flowers102-colu-conv2d - train/loss","oxford_flowers102-colu-conv2d - train/loss__MIN","oxford_flowers102-colu-conv2d - train/loss__MAX","oxford_flowers102-relu-conv2d - train/loss","oxford_flowers102-relu-conv2d - train/loss__MIN","oxford_flowers102-relu-conv2d - train/loss__MAX"
"0","0.18484549224376678","0.18484549224376678","0.18484549224376678","0.25540250539779663","0.25540250539779663","0.25540250539779663"
"1","0.08993247151374817","0.08993247151374817","0.08993247151374817","0.10212546586990356","0.10212546586990356","0.10212546586990356"
"2","0.0760565772652626","0.0760565772652626","0.0760565772652626","0.08252642303705215","0.08252642303705215","0.08252642303705215"
"3","0.07204930484294891","0.07204930484294891","0.07204930484294891","0.07753846049308777","0.07753846049308777","0.07753846049308777"
"4","0.0655374601483345","0.0655374601483345","0.0655374601483345","0.07095310837030411","0.07095310837030411","0.07095310837030411"
"5","0.06046799197793007","0.06046799197793007","0.06046799197793007","0.0643799677491188","0.0643799677491188","0.0643799677491188"
"6","0.056397341191768646","0.056397341191768646","0.056397341191768646","0.060483288019895554","0.060483288019895554","0.060483288019895554"
"7","0.0571596585214138","0.0571596585214138","0.0571596585214138","0.06015094369649887","0.06015094369649887","0.06015094369649887"
"8","0.055113498121500015","0.055113498121500015","0.055113498121500015","0.05765422806143761","0.05765422806143761","0.05765422806143761"
"9","0.05541452392935753","0.05541452392935753","0.05541452392935753","0.05804344639182091","0.05804344639182091","0.05804344639182091"
"11","0.052095141261816025","0.052095141261816025","0.052095141261816025","0.053759265691041946","0.053759265691041946","0.053759265691041946"
"12","0.05044415593147278","0.05044415593147278","0.05044415593147278","0.05242088437080383","0.05242088437080383","0.05242088437080383"
"13","0.05097411945462227","0.05097411945462227","0.05097411945462227","0.05194497108459473","0.05194497108459473","0.05194497108459473"
"14","0.052962061017751694","0.052962061017751694","0.052962061017751694","0.05469638854265213","0.05469638854265213","0.05469638854265213"
"15","0.0500141903758049","0.0500141903758049","0.0500141903758049","0.05077749863266945","0.05077749863266945","0.05077749863266945"
"16","0.049913354218006134","0.049913354218006134","0.049913354218006134","0.051055096089839935","0.051055096089839935","0.051055096089839935"
"17","0.04875783622264862","0.04875783622264862","0.04875783622264862","0.049467820674180984","0.049467820674180984","0.049467820674180984"
"18","0.04926395043730736","0.04926395043730736","0.04926395043730736","0.050132669508457184","0.050132669508457184","0.050132669508457184"
"19","0.04887191951274872","0.04887191951274872","0.04887191951274872","0.04967017471790314","0.04967017471790314","0.04967017471790314"
"20","0.04832806438207626","0.04832806438207626","0.04832806438207626","0.04940733313560486","0.04940733313560486","0.04940733313560486"
"22","0.04939546436071396","0.04939546436071396","0.04939546436071396","0.050062742084264755","0.050062742084264755","0.050062742084264755"
"23","0.046833254396915436","0.046833254396915436","0.046833254396915436","0.04755686596035957","0.04755686596035957","0.04755686596035957"
"24","0.04873012378811836","0.04873012378811836","0.04873012378811836","0.04891153424978256","0.04891153424978256","0.04891153424978256"
"25","0.04781753197312355","0.04781753197312355","0.04781753197312355","0.04833785071969032","0.04833785071969032","0.04833785071969032"
"26","0.049174822866916656","0.049174822866916656","0.049174822866916656","0.04918394237756729","0.04918394237756729","0.04918394237756729"
"27","0.04786089062690735","0.04786089062690735","0.04786089062690735","0.04840712249279022","0.04840712249279022","0.04840712249279022"
"28","0.04849959537386894","0.04849959537386894","0.04849959537386894","0.04854637011885643","0.04854637011885643","0.04854637011885643"
"29","0.048284925520420074","0.048284925520420074","0.048284925520420074","0.04875543713569641","0.04875543713569641","0.04875543713569641"
"30","0.04719898849725723","0.04719898849725723","0.04719898849725723","0.047625888139009476","0.047625888139009476","0.047625888139009476"
"31","0.04699166119098663","0.04699166119098663","0.04699166119098663","0.04714522883296013","0.04714522883296013","0.04714522883296013"
"33","0.04784407094120979","0.04784407094120979","0.04784407094120979","0.04822757840156555","0.04822757840156555","0.04822757840156555"
"34","0.04789723455905914","0.04789723455905914","0.04789723455905914","0.048122748732566833","0.048122748732566833","0.048122748732566833"
"35","0.04726604372262955","0.04726604372262955","0.04726604372262955","0.047438789159059525","0.047438789159059525","0.047438789159059525"
